country,year,co2
Armenia,1879,0.027
Armenia,1880,0.032
Armenia,1881,0.034
Armenia,1882,0.036
Armenia,1883,0.041
Armenia,1884,0.041
Armenia,1900,0.172
Armenia,1886,0.046
Armenia,1887,0.049
Armenia,1888,0.051
Armenia,1885,0.045
Armenia,1890,0.062
Armenia,1889,0.055
Armenia,1897,0.117
Armenia,1896,0.101
Armenia,1895,0.099
Armenia,1898,0.131
Armenia,1893,0.085
Armenia,1892,0.072
Armenia,1891,0.068
Armenia,1894,0.087
Asia,1959,1375.522
Asia,1951,456.067
Asia,1952,505.795
Asia,1953,541.412
Asia,1954,593.298
Asia,1955,676.212
Asia,1956,750.837
Asia,1957,845.233
Asia,1958,1139.733
Asia,1960,1540.394
Asia,1926,204.901
Asia,1962,1344.446
Asia,1963,1425.118
Asia,1964,1509.495
Asia,1966,1799.358
Asia,1967,1827.449
Asia,1968,2018.387
Asia,1969,2291.94
Asia,1970,2699.301
Asia,1971,2953.833
Asia,1961,1395.308
Asia,1950,476.122
Asia,1927,224.699
Asia,1948,370.219
Asia,1972,3124.01
Asia,1928,235.121
Asia,1929,246.094
Asia,1930,246.558
Asia,1931,237.337
Asia,1932,237.433
Asia,1933,261.529
Asia,1934,296.938
Asia,1935,322.726
Asia,1936,354.201
Asia,1937,375.6
Asia,1938,389.285
Asia,1939,412.158
Asia,1940,467.791
Asia,1941,472.586
Asia,1942,433.908
Asia,1943,428.679
Asia,1944,435.865
Asia,1945,323.129
Asia,1946,311.41
Asia,1947,372.869
Asia,1949,456.736
Asia,1973,3355.519
Asia,1996,8579.1
Asia,1975,3581.003
Asia,2001,9259.172
Asia,2002,9779.534
Asia,2003,10716.11
Asia,2004,11681.501
Asia,2005,12522.219
Asia,2006,13363.127
Asia,2007,14080.908
Asia,2008,14811.211
Asia,2009,15412.299
Asia,2000,9091.055
Asia,2010,16530.951
Asia,2012,18456.3
Asia,2013,18714.335
Asia,2014,19018.802
Asia,2015,19135.91
Asia,2016,19218.166
Asia,2017,19653.513
Asia,2018,20254.37
Asia,2019,20608.593
Asia,2020,20317.058
Asia,2011,17746.632
Asia,1974,3415.347
Asia,1999,8678.317
Asia,1997,8691.038
Asia,1976,3806.119
Asia,1977,4050.961
Asia,1978,4232.254
Asia,1979,4405.94
Asia,1980,4400.905
Asia,1981,4374.459
Asia,1982,4524.213
Asia,1983,4706.387
Asia,1984,4980.671
Asia,1998,8421.433
Asia,1985,5272.291
Asia,1987,5735.494
Asia,1988,6205.031
Asia,1989,6421.483
Asia,1990,6625.838
Asia,1991,6956.347
Asia,1992,7269.585
Asia,1993,7600.515
Asia,1994,7931.294
Asia,1995,8251.609
Asia,1986,5498.753
Asia,1925,202.835
Asia,1965,1652.064
Asia,1923,184.954
Asia,1855,0.045
Asia,1856,0.1826666666666667
Asia,1857,0.3203333333333333
Asia,1858,0.458
Asia,1859,0.704
Asia,1860,0.733
Asia,1861,0.611
Asia,1862,0.653
Asia,1863,0.717
Asia,1854,0.039
Asia,1864,0.697
Asia,1866,1.21
Asia,1867,0.641
Asia,1868,0.531
Asia,1869,0.752
Asia,1870,0.682
Asia,1871,0.907
Asia,1872,0.98
Asia,1873,0.937
Asia,1874,1.642
Asia,1865,0.832
Asia,1853,0.033
Asia,1852,0.027
Asia,1851,0.0209999999999999
Asia,1924,199.653
Asia,1831,0.003
Asia,1832,0.002
Asia,1833,0.002
Asia,1834,0.0027647058823529
Asia,1835,0.0035294117647058
Asia,1836,0.0042941176470588
Asia,1837,0.0050588235294117
Asia,1838,0.0058235294117647
Asia,1839,0.0065882352941176
Asia,1840,0.0073529411764705
Asia,1841,0.0081176470588235
Asia,1842,0.0088823529411764
Asia,1843,0.0096470588235294
Asia,1844,0.0104117647058823
Asia,1845,0.0111764705882352
Asia,1846,0.0119411764705882
Asia,1847,0.0127058823529411
Asia,1848,0.0134705882352941
Asia,1849,0.014235294117647
Asia,1850,0.015
Asia,1875,2.712
Asia,1876,2.821
Asia,1830,0.002
Asia,1878,5.477
Asia,1903,57.142
Asia,1904,64.125
Asia,1905,65.418
Asia,1906,87.527
Asia,1907,94.294
Asia,1908,106.137
Asia,1909,105.951
Asia,1911,121.139
Asia,1912,112.717
Asia,1902,52.62
Asia,1913,124.071
Asia,1915,127.502
Asia,1916,137.918
Asia,1917,149.998
Asia,1918,153.275
Asia,1919,169.919
Asia,1920,162.006
Asia,1921,158.417
Asia,1922,168.043
Asia,1877,2.903
Asia,1914,131.448
Asia,1901,50.484
Asia,1910,104.674
Asia,1899,38.846
Asia,1880,6.211
Asia,1900,44.119
Asia,1881,6.372
Asia,1882,6.901
Asia,1883,7.633
Asia,1884,8.218
Asia,1886,9.144
Asia,1887,10.569
Asia,1888,11.751
Asia,1889,13.819
Asia,1885,8.567
Asia,1879,5.691
Asia,1898,36.579
Asia,1890,15.128
Asia,1896,28.1
Asia,1895,26.372
Asia,1894,22.807
Asia,1897,30.567
Asia,1892,18.324
Asia,1891,17.249
Asia,1893,20.47
Asia (excl. China & India),1953,338.84
Asia (excl. China & India),1960,630.144
Asia (excl. China & India),1954,359.92
Asia (excl. China & India),1955,406.812
Asia (excl. China & India),1956,453.264
Asia (excl. China & India),1957,497.709
Asia (excl. China & India),1958,519.192
Asia (excl. China & India),1959,553.81
Asia (excl. China & India),1961,704.138
Asia (excl. China & India),1970,1709.45
Asia (excl. China & India),1963,825.738
Asia (excl. China & India),1964,909.218
Asia (excl. China & India),1965,997.91
Asia (excl. China & India),1966,1090.359
Asia (excl. China & India),1967,1207.498
Asia (excl. China & India),1968,1348.635
Asia (excl. China & India),1969,1506.667
Asia (excl. China & India),1971,1852.479
Asia (excl. China & India),1952,310.286
Asia (excl. China & India),1962,752.099
Asia (excl. China & India),1951,289.852
Asia (excl. China & India),1929,168.524
Asia (excl. China & India),1949,341.11
Asia (excl. China & India),1928,160.885
Asia (excl. China & India),1972,1952.137
Asia (excl. China & India),1930,166.191
Asia (excl. China & India),1931,158.192
Asia (excl. China & India),1932,162.669
Asia (excl. China & India),1933,183.818
Asia (excl. China & India),1934,208.018
Asia (excl. China & India),1935,223.679
Asia (excl. China & India),1936,248.506
Asia (excl. China & India),1937,269.98
Asia (excl. China & India),1938,283.532
Asia (excl. China & India),1939,295.663
Asia (excl. China & India),1940,329.362
Asia (excl. China & India),1941,311.414
Asia (excl. China & India),1942,266.565
Asia (excl. China & India),1943,284.793
Asia (excl. China & India),1944,290.336
Asia (excl. China & India),1945,219.836
Asia (excl. China & India),1946,227.855
Asia (excl. China & India),1947,286.061
Asia (excl. China & India),1948,293.105
Asia (excl. China & India),1950,336.109
Asia (excl. China & India),1973,2137.936
Asia (excl. China & India),1995,4131.579
Asia (excl. China & India),1975,2163.349
Asia (excl. China & India),2002,4883.912
Asia (excl. China & India),2003,5111.48
Asia (excl. China & India),2004,5332.275
Asia (excl. China & India),2005,5459.71
Asia (excl. China & India),2006,5614.579
Asia (excl. China & India),2007,5744.144
Asia (excl. China & India),2008,5851.564
Asia (excl. China & India),2009,5912.95
Asia (excl. China & India),2010,6236.41
Asia (excl. China & India),2001,4751.678
Asia (excl. China & India),2011,6437.946
Asia (excl. China & India),2013,6724.654
Asia (excl. China & India),2014,6847.363
Asia (excl. China & India),2015,7018.923
Asia (excl. China & India),2016,7115.499
Asia (excl. China & India),2017,7299.198
Asia (excl. China & India),2018,7364.575
Asia (excl. China & India),2019,7492.636
Asia (excl. China & India),1927,149.235
Asia (excl. China & India),2020,7207.379
Asia (excl. China & India),2012,6717.092
Asia (excl. China & India),2000,4672.984
Asia (excl. China & India),1999,4376.228
Asia (excl. China & India),1998,4183.28
Asia (excl. China & India),1976,2334.708
Asia (excl. China & India),1977,2450.916
Asia (excl. China & India),1978,2476.078
Asia (excl. China & India),1979,2603.737
Asia (excl. China & India),1980,2614.417
Asia (excl. China & India),1981,2582.706
Asia (excl. China & India),1982,2591.944
Asia (excl. China & India),1983,2659.64
Asia (excl. China & India),1984,2773.953
Asia (excl. China & India),1985,2876.255
Asia (excl. China & India),1986,2967.841
Asia (excl. China & India),1987,3021.996
Asia (excl. China & India),1988,3286.993
Asia (excl. China & India),1989,3416.694
Asia (excl. China & India),1990,3562.465
Asia (excl. China & India),1991,3734.326
Asia (excl. China & India),1992,3882.765
Asia (excl. China & India),1993,4000.948
Asia (excl. China & India),1994,4114.375
Asia (excl. China & India),1996,4249.948
Asia (excl. China & India),1997,4321.183
Asia (excl. China & India),1974,2171.187
Asia (excl. China & India),1926,135.316
Asia (excl. China & India),1917,95.082
Asia (excl. China & India),1924,123.879
Asia (excl. China & India),1854,0.039
Asia (excl. China & India),1855,0.045
Asia (excl. China & India),1856,0.051
Asia (excl. China & India),1857,0.057
Asia (excl. China & India),1858,0.063
Asia (excl. China & India),1859,0.067
Asia (excl. China & India),1860,0.089
Asia (excl. China & India),1861,0.113
Asia (excl. China & India),1862,0.102
Asia (excl. China & India),1853,0.033
Asia (excl. China & India),1863,0.106
Asia (excl. China & India),1865,0.264
Asia (excl. China & India),1866,0.569
Asia (excl. China & India),1867,0.641
Asia (excl. China & India),1868,0.531
Asia (excl. China & India),1869,0.752
Asia (excl. China & India),1870,0.682
Asia (excl. China & India),1871,0.907
Asia (excl. China & India),1872,0.98
Asia (excl. China & India),1873,0.937
Asia (excl. China & India),1864,0.119
Asia (excl. China & India),1874,1.642
Asia (excl. China & India),1852,0.027
Asia (excl. China & India),1850,0.015
Asia (excl. China & India),1830,0.002
Asia (excl. China & India),1831,0.003
Asia (excl. China & India),1832,0.002
Asia (excl. China & India),1833,0.002
Asia (excl. China & India),1834,0.0027647058823529
Asia (excl. China & India),1835,0.0035294117647058
Asia (excl. China & India),1925,129.477
Asia (excl. China & India),1837,0.0050588235294117
Asia (excl. China & India),1838,0.0058235294117647
Asia (excl. China & India),1851,0.0209999999999999
Asia (excl. China & India),1839,0.0065882352941176
Asia (excl. China & India),1841,0.0081176470588235
Asia (excl. China & India),1842,0.0088823529411764
Asia (excl. China & India),1843,0.0096470588235294
Asia (excl. China & India),1844,0.0104117647058823
Asia (excl. China & India),1845,0.0111764705882352
Asia (excl. China & India),1846,0.0119411764705882
Asia (excl. China & India),1847,0.0127058823529411
Asia (excl. China & India),1848,0.0134705882352941
Asia (excl. China & India),1849,0.014235294117647
Asia (excl. China & India),1840,0.0073529411764705
Asia (excl. China & India),1875,2.712
Asia (excl. China & India),1836,0.0042941176470588
Asia (excl. China & India),1877,2.903
Asia (excl. China & India),1903,40.358
Asia (excl. China & India),1904,45.455
Asia (excl. China & India),1905,46.169
Asia (excl. China & India),1906,50.843
Asia (excl. China & India),1907,55.654
Asia (excl. China & India),1908,58.466
Asia (excl. China & India),1909,60.942
Asia (excl. China & India),1910,62.409
Asia (excl. China & India),1911,68.478
Asia (excl. China & India),1902,37.991
Asia (excl. China & India),1912,74.372
Asia (excl. China & India),1914,84.602
Asia (excl. China & India),1915,78.229
Asia (excl. China & India),1916,86.394
Asia (excl. China & India),1918,92.822
Asia (excl. China & India),1919,102.633
Asia (excl. China & India),1921,95.574
Asia (excl. China & India),1922,104.459
Asia (excl. China & India),1923,114.782
Asia (excl. China & India),1876,2.821
Asia (excl. China & India),1913,81.806
Asia (excl. China & India),1901,37.288
Asia (excl. China & India),1920,100.324
Asia (excl. China & India),1899,28.684
Asia (excl. China & India),1900,32.175
Asia (excl. China & India),1879,4.004
Asia (excl. China & India),1878,3.708
Asia (excl. China & India),1881,4.53
Asia (excl. China & India),1882,4.702
Asia (excl. China & India),1883,5.189
Asia (excl. China & India),1884,5.484
Asia (excl. China & India),1885,6.105
Asia (excl. China & India),1886,6.368
Asia (excl. China & India),1887,7.499
Asia (excl. China & India),1880,4.322
Asia (excl. China & India),1889,9.793
Asia (excl. China & India),1888,8.337
Asia (excl. China & India),1896,20.482
Asia (excl. China & India),1895,19.329
Asia (excl. China & India),1894,17.183
Asia (excl. China & India),1897,22.304
Asia (excl. China & India),1892,13.07
Asia (excl. China & India),1891,12.471
Asia (excl. China & India),1890,10.691
Asia (excl. China & India),1893,14.921
Asia (excl. China & India),1898,27.442
Australia,1962,94.823
Australia,1969,142.124
Australia,1963,100.934
Australia,1964,108.876
Australia,1965,120.853
Australia,1966,120.219
Australia,1967,129.144
Australia,1968,134.497
Australia,1973,170.829
Australia,1971,152.63
Australia,1972,157.337
Australia,1974,172.192
Australia,1975,175.717
Australia,1976,174.078
Australia,1977,187.609
Australia,1978,201.825
Australia,1970,147.48
Australia,1961,90.504
Australia,1950,54.739
Australia,1959,83.708
Australia,1979,204.875
Australia,1942,36.502
Australia,1943,34.99
Australia,1944,34.209
Australia,1945,32.695
Australia,1946,35.421
Australia,1947,38.014
Australia,1948,38.42
Australia,1949,37.647
Australia,1951,59.029
Australia,1952,60.201
Australia,1953,59.435
Australia,1954,67.839
Australia,1955,70.674
Australia,1956,73.03
Australia,1957,74.516
Australia,1958,77.608
Australia,1960,88.119
Australia,1980,220.537
Australia,2003,373.233
Australia,1982,233.897
Australia,2005,387.602
Australia,2007,401.926
Australia,2008,409.653
Australia,2009,401.321
Australia,2010,404.533
Australia,2011,405.344
Australia,2012,402.666
Australia,2004,386.766
Australia,2013,393.171
Australia,2015,403.279
Australia,2016,415.945
Australia,2017,414.751
Australia,2018,416.001
Australia,2019,414.517
Australia,2020,391.892
Australia,1941,34.545
Australia,2014,399.254
Australia,2002,367.113
Australia,2001,360.455
Australia,2000,351.82
Australia,1983,224.792
Australia,1984,236.37
Australia,1985,240.998
Australia,1986,239.733
Australia,1987,255.862
Australia,1988,260.892
Australia,1989,277.501
Australia,1990,279.365
Australia,1991,281.872
Australia,1992,286.332
Australia,1993,291.325
Australia,1994,300.084
Australia,1995,308.023
Australia,1996,316.332
Australia,1997,327.11
Australia,1998,338.697
Australia,1999,346.599
Australia,1981,230.14
Australia,1940,29.038
Australia,2006,397.295
Australia,1938,28.035
Australia,1881,1.766
Australia,1882,2.012
Australia,1883,2.426
Australia,1884,2.572
Australia,1885,2.906
Australia,1886,2.887
Australia,1887,3.034
Australia,1880,2.206
Australia,1888,3.528
Australia,1890,3.547
Australia,1891,4.008
Australia,1892,4.151
Australia,1893,3.964
Australia,1894,4.36
Australia,1895,4.591
Australia,1896,4.503
Australia,1889,3.426
Australia,1879,1.455
Australia,1878,0.967
Australia,1877,1.066
Australia,1860,0.278
Australia,1861,0.509
Australia,1862,0.355
Australia,1863,0.399
Australia,1864,0.267
Australia,1865,0.421
Australia,1866,0.696
Australia,1867,0.894
Australia,1868,0.733
Australia,1869,0.641
Australia,1870,0.601
Australia,1871,0.692
Australia,1872,0.707
Australia,1873,0.868
Australia,1874,0.89
Australia,1875,0.828
Australia,1876,0.931
Australia,1897,4.976
Australia,1898,5.613
Australia,1939,32.142
Australia,1900,10.168
Australia,1922,24.344
Australia,1923,24.849
Australia,1924,27.07
Australia,1925,28.235
Australia,1926,27.854
Australia,1927,28.894
Australia,1928,26.286
Australia,1921,23.153
Australia,1929,23.652
Australia,1932,20.342
Australia,1933,21.58
Australia,1934,22.697
Australia,1935,25.228
Australia,1936,27.049
Australia,1937,28.855
Australia,1899,5.785
Australia,1931,19.546
Australia,1920,25.732
Australia,1930,22.029
Australia,1918,22.94
Australia,1901,11.439
Australia,1919,21.739
Australia,1902,11.395
Australia,1903,11.219
Australia,1904,11.545
Australia,1905,12.047
Australia,1907,15.477
Australia,1908,16.755
Australia,1909,14.553
Australia,1906,14.359
Australia,1911,19.24
Australia,1912,20.786
Australia,1913,22.391
Australia,1914,24.479
Australia,1915,21.793
Australia,1917,20.76
Australia,1910,17.437
Australia,1916,19.273
Austria,1945,4.562
Austria,1952,22.07
Austria,1951,23.264
Austria,1950,20.894
Austria,1947,17.63
Austria,1948,24.487
Austria,1946,12.76
Austria,1944,9.391
Austria,1953,21.715
Austria,1949,26.574
Austria,1954,24.506
Austria,1963,36.949
Austria,1956,28.205
Austria,1957,29.179
Austria,1958,28.087
Austria,1959,27.91
Austria,1960,30.784
Austria,1961,31.824
Austria,1962,33.865
Austria,1964,38.896
Austria,1965,38.141
Austria,1943,9.611
Austria,1966,39.209
Austria,1955,29.07
Austria,1942,8.545
Austria,1923,17.778
Austria,1940,7.343
Austria,1967,39.916
Austria,1916,9.087
Austria,1917,3.451
Austria,1918,3.338
Austria,1919,3.015
Austria,1920,14.528
Austria,1922,18.587
Austria,1924,20.093
Austria,1925,18.991
Austria,1926,18.62
Austria,1927,20.123
Austria,1928,21.19
Austria,1929,24.173
Austria,1930,18.863
Austria,1931,18.103
Austria,1932,15.171
Austria,1933,14.23
Austria,1934,13.753
Austria,1935,13.922
Austria,1936,13.592
Austria,1937,15.259
Austria,1938,5.787
Austria,1939,6.336
Austria,1941,7.973
Austria,1968,42.297
Austria,2008,73.472
Austria,1970,50.632
Austria,1998,66.887
Austria,1999,65.64
Austria,2000,66.139
Austria,2001,70.139
Austria,2002,71.943
Austria,2003,77.451
Austria,2004,77.668
Austria,2005,79.068
Austria,2006,76.796
Austria,2007,74.097
Austria,1915,35.343
Austria,2009,67.291
Austria,2010,72.0
Austria,2011,69.889
Austria,2012,67.263
Austria,2013,67.759
Austria,2014,64.161
Austria,2015,66.352
Austria,2016,67.215
Austria,2017,69.599
Austria,2018,66.565
Austria,2019,67.962
Austria,2020,60.635
Austria,1997,67.252
Austria,1969,44.638
Austria,1996,67.355
Austria,1994,61.034
Austria,1971,52.069
Austria,1972,56.071
Austria,1973,60.016
Austria,1974,57.294
Austria,1975,54.214
Austria,1976,58.204
Austria,1977,55.994
Austria,1978,57.226
Austria,1979,61.321
Austria,1980,52.025
Austria,1981,55.833
Austria,1982,53.565
Austria,1983,51.668
Austria,1984,54.214
Austria,1985,54.366
Austria,1986,53.729
Austria,1987,57.374
Austria,1988,52.937
Austria,1989,53.696
Austria,1990,62.14
Austria,1991,65.738
Austria,1992,60.236
Austria,1993,60.661
Austria,1995,64.011
Austria,1914,49.655
Austria,1921,19.339
Austria,1912,51.688
Austria,1835,0.634
Austria,1836,0.674
Austria,1837,0.707
Austria,1838,0.85
Austria,1839,1.059
Austria,1840,1.169
Austria,1841,1.319
Austria,1842,1.458
Austria,1843,1.268
Austria,1844,1.594
Austria,1845,1.799
Austria,1846,2.114
Austria,1847,2.081
Austria,1848,2.334
Austria,1849,2.261
Austria,1850,2.327
Austria,1851,2.334
Austria,1852,2.81
Austria,1853,3.224
Austria,1854,3.177
Austria,1855,3.701
Austria,1856,4.232
Austria,1857,4.873
Austria,1834,0.586
Austria,1833,0.429
Austria,1832,0.513
Austria,1831,0.48
Austria,1807,0.169
Austria,1808,0.176
Austria,1809,0.183
Austria,1810,0.19
Austria,1811,0.197
Austria,1812,0.204
Austria,1913,60.984
Austria,1814,0.218
Austria,1815,0.225
Austria,1816,0.232
Austria,1817,0.239
Austria,1858,7.244
Austria,1818,0.246
Austria,1820,0.333
Austria,1821,0.359
Austria,1822,0.366
Austria,1823,0.348
Austria,1824,0.399
Austria,1825,0.403
Austria,1826,0.458
Austria,1827,0.476
Austria,1828,0.458
Austria,1829,0.476
Austria,1830,0.495
Austria,1819,0.253
Austria,1859,5.866
Austria,1813,0.211
Austria,1861,6.379
Austria,1889,12.875
Austria,1890,13.037
Austria,1891,14.945
Austria,1892,14.465
Austria,1893,17.701
Austria,1894,18.129
Austria,1895,20.372
Austria,1896,21.299
Austria,1897,23.021
Austria,1898,24.454
Austria,1899,24.816
Austria,1900,27.696
Austria,1901,28.352
Austria,1902,25.696
Austria,1903,25.699
Austria,1904,27.209
Austria,1905,28.609
Austria,1906,34.178
Austria,1907,42.697
Austria,1909,43.642
Austria,1910,58.785
Austria,1911,49.142
Austria,1860,6.148
Austria,1888,11.952
Austria,1887,12.256
Austria,1908,60.031
Austria,1885,12.047
Austria,1886,11.369
Austria,1863,5.877
Austria,1865,5.353
Austria,1866,3.594
Austria,1867,4.913
Austria,1868,6.071
Austria,1869,6.485
Austria,1870,7.365
Austria,1871,10.142
Austria,1872,10.006
Austria,1873,10.728
Austria,1864,5.075
Austria,1875,7.859
Austria,1884,11.461
Austria,1874,9.153
Austria,1883,11.761
Austria,1882,10.6
Austria,1881,10.314
Austria,1862,6.353
Austria,1879,8.863
Austria,1878,7.24
Austria,1877,7.284
Austria,1880,23.647
Austria,1876,8.09
Azerbaijan,1970,31.183
Azerbaijan,1950,8.918
Azerbaijan,1951,9.657
Azerbaijan,1952,10.341
Azerbaijan,1953,10.939
Azerbaijan,1954,11.939
Azerbaijan,1955,13.538
Azerbaijan,1956,14.86
Azerbaijan,1957,16.271
Azerbaijan,1958,17.381
Azerbaijan,1960,19.037
Azerbaijan,1961,19.653
Azerbaijan,1962,20.649
Azerbaijan,1963,22.166
Azerbaijan,1965,25.035
Azerbaijan,1966,26.444
Azerbaijan,1967,27.669
Azerbaijan,1968,28.464
Azerbaijan,1949,8.011
Azerbaijan,1969,29.657
Azerbaijan,1959,18.278
Azerbaijan,1964,23.592
Azerbaijan,1938,5.278
Azerbaijan,1947,6.634
Azerbaijan,1927,1.275
Azerbaijan,1971,33.112
Azerbaijan,2020,37.72
Azerbaijan,1929,1.512
Azerbaijan,1930,2.063
Azerbaijan,1931,2.48
Azerbaijan,1932,2.791
Azerbaijan,1933,3.122
Azerbaijan,1934,3.774
Azerbaijan,1948,7.05
Azerbaijan,1935,4.267
Azerbaijan,1937,5.0
Azerbaijan,1939,5.343
Azerbaijan,1940,6.404
Azerbaijan,1941,5.627
Azerbaijan,1942,3.08
Azerbaijan,1943,3.214
Azerbaijan,1944,4.662
Azerbaijan,1945,4.918
Azerbaijan,1946,5.515
Azerbaijan,1936,4.886
Azerbaijan,1972,34.854
Azerbaijan,1998,31.666
Azerbaijan,1974,37.749
Azerbaijan,2001,28.791
Azerbaijan,2002,29.641
Azerbaijan,2003,30.624
Azerbaijan,2004,32.077
Azerbaijan,2005,34.286
Azerbaijan,2006,39.109
Azerbaijan,2007,30.459
Azerbaijan,2008,35.45
Azerbaijan,2009,31.856
Azerbaijan,2000,29.506
Azerbaijan,2010,30.633
Azerbaijan,2012,35.048
Azerbaijan,2013,35.215
Azerbaijan,2014,36.975
Azerbaijan,2015,36.989
Azerbaijan,2016,37.055
Azerbaijan,2017,36.73
Azerbaijan,2018,36.847
Azerbaijan,2019,38.725
Azerbaijan,1926,1.025
Azerbaijan,2011,32.976
Azerbaijan,1999,28.57
Azerbaijan,1997,29.802
Azerbaijan,1996,31.242
Azerbaijan,1975,39.695
Azerbaijan,1976,41.226
Azerbaijan,1977,42.634
Azerbaijan,1978,44.109
Azerbaijan,1979,44.478
Azerbaijan,1980,46.222
Azerbaijan,1981,45.371
Azerbaijan,1982,46.23
Azerbaijan,1983,46.897
Azerbaijan,1984,47.323
Azerbaijan,1985,51.021
Azerbaijan,1986,53.134
Azerbaijan,1987,50.438
Azerbaijan,1988,51.327
Azerbaijan,1989,51.372
Azerbaijan,1990,51.38
Azerbaijan,1991,50.034
Azerbaijan,1992,56.174
Azerbaijan,1993,48.406
Azerbaijan,1994,41.944
Azerbaijan,1995,33.309
Azerbaijan,1973,36.344
Azerbaijan,1925,0.708
Azerbaijan,1928,1.404
Azerbaijan,1923,0.602
Azerbaijan,1854,0.0044
Azerbaijan,1855,0.005
Azerbaijan,1856,0.0053333333333333
Azerbaijan,1857,0.0056666666666666
Azerbaijan,1858,0.006
Azerbaijan,1859,0.007
Azerbaijan,1860,0.009
Azerbaijan,1861,0.011
Azerbaijan,1862,0.01
Azerbaijan,1852,0.0032
Azerbaijan,1863,0.011
Azerbaijan,1865,0.012
Azerbaijan,1866,0.037
Azerbaijan,1867,0.042
Azerbaijan,1868,0.035
Azerbaijan,1869,0.047
Azerbaijan,1870,0.051
